,ID_REF,PROBE_ID,IDENTIFIER
734,1553277_at,734,RTTN
735,1553279_at,735,BTNL9
736,1553280_at,736,PUS10
737,1553281_at,737,PLCXD2
738,1553282_at,738,UMODL1-AS1
739,1553284_s_at,739,LMLN
740,1553285_s_at,740,RAD9B
741,1553286_at,741,ZNF555
742,1553288_a_at,742,NYAP1
743,1553292_s_at,743,SGK494
744,1553293_at,744,MRGPRX3
745,1553295_at,745,ABCA13
746,1553296_at,746,ADGRG7
747,1553297_a_at,747,CSF3R
748,1553298_at,748,C17orf77
749,1553299_at,749,DUSP5P1
750,1553300_a_at,750,DGKH
751,1553301_a_at,751,TMEM182
752,1553303_at,752,C16orf46
753,1553304_at,753,LSM14B
754,1553306_at,754,CASP8
755,1553310_at,755,PLB1
756,1553311_at,756,C20orf197
757,1553313_s_at,757,SLC5A3
758,1553314_a_at,758,KIF19
759,1553315_at,759,SLFNL1
760,1553316_at,760,GPR82
761,1553317_s_at,761,GPR82
762,1553318_at,762,RIBC1
763,1553319_at,763,OXGR1
764,1553320_s_at,764,CDC14C
765,1553321_a_at,765,SULT1C4
766,1553322_s_at,766,TEAD1
767,1553323_a_at,767,LOC101930343
768,1553325_at,768,POU5F2
769,1553326_at,769,RXFP2
770,1553327_a_at,770,BEND7
771,1553328_a_at,771,SLC18A2
772,1553329_at,772,SSMEM1
773,1553330_at,773,SSMEM1
774,1553333_at,774,MAB21L3
775,1553335_x_at,775,LOC285696
776,1553336_a_at,776,MIER3
777,1553338_at,777,SDE2
778,1553340_s_at,778,SLC35G4
779,1553341_at,779,UROC1
780,1553344_at,780,PCDH15
781,1553346_a_at,781,TNRC6A
782,1553347_s_at,782,KCNA6
783,1553348_a_at,783,NFX1
784,1553349_at,784,ARID2
785,1553350_at,785,AMER3
786,1553351_at,786,OTUD7A
787,1553352_x_at,787,ERVW-1
788,1553354_a_at,788,1553354_a_at
789,1553355_at,789,1553355_at
790,1553356_at,790,1553356_at
791,1553357_at,791,LINC00889
792,1553359_at,792,FBXL18
793,1553361_x_at,793,FBXL18
794,1553362_at,794,DNAH6
795,1553363_at,795,LINC01600
796,1553364_at,796,PNPLA1
797,1553365_at,797,DEPDC4
798,1553366_s_at,798,ANKRD23
799,1553367_a_at,799,COX6B2
800,1553369_at,800,FAM129C
801,1553371_at,801,EPHA10
802,1553372_at,802,1553372_at
803,1553373_at,803,WDR64
804,1553374_at,804,PRO2949
805,1553375_at,805,BTBD9
806,1553376_a_at,806,AXDND1
807,1553378_a_at,807,HEATR9
808,1553380_at,808,PARP15
809,1553383_at,809,ARHGAP42
810,1553385_at,810,LINC01101
811,1553386_at,811,MFSD2A
812,1553387_at,812,ATM
